event_name,event_type
Federal Funds Rate,Central Bank
FOMC Economic Projections,Central Bank
FOMC Statement,Central Bank
FOMC Press Conference,Central Bank
BOJ Policy Rate,Central Bank
BOJ Press Conference,Central Bank
RBA Financial Stability Review,Central Bank
SNB Monetary Policy Assessment,Central Bank
SNB Policy Rate,Central Bank
SNB Press Conference,Central Bank
FPC Meeting Minutes,Central Bank
FPC Statement,Central Bank
SNB Quarterly Bulletin,Central Bank
BOE Credit Conditions Survey,Central Bank
BOC Business Outlook Survey,Central Bank
RBA Bulletin,Central Bank
BOC Monetary Policy Report,Central Bank
RBA Annual Report,Central Bank
Autumn Forecast Statement,Central Bank
BOJ Outlook Report,Central Bank
RBNZ Financial Stability Report,Central Bank
Treasury Currency Report,Central Bank
EU Economic Forecasts,Central Bank
Monetary Policy Report Hearings,Central Bank
ECB Financial Stability Review,Central Bank
FOMC Financial Stability Report,Central Bank
BOE Financial Stability Report,Central Bank
Mid-Year Economic and Fiscal Outlook,Central Bank
Fed Monetary Policy Report,Central Bank
Annual Budget Release,Central Bank
BOC Financial System Review,Central Bank
SNB Financial Stability Report,Central Bank
BOE Inflation Letter,Central Bank
Sentix Investor Confidence,Consumer
RCM/TIPP Economic Optimism,Consumer
Economy Watchers Sentiment,Consumer
SECO Consumer Climate,Consumer
Westpac Consumer Sentiment,Consumer
German ZEW Economic Sentiment,Consumer
ZEW Economic Sentiment,Consumer
MI Inflation Expectations,Consumer
Prelim UoM Consumer Sentiment,Consumer
Prelim UoM Inflation Expectations,Consumer
Consumer Confidence,Consumer
GfK Consumer Confidence,Consumer
German GfK Consumer Climate,Consumer
CB Consumer Confidence,Consumer
UBS Economic Expectations,Consumer
Revised UoM Consumer Sentiment,Consumer
Revised UoM Inflation Expectations,Consumer
Consumer Inflation Expectations,Consumer
Italian Monthly Unemployment Rate,Employment
Unemployment Rate,Employment
Challenger Job Cuts y/y,Employment
Unemployment Claims,Employment
Spanish Unemployment Change,Employment
Non-Farm Employment Change,Employment
ANZ Job Advertisements m/m,Employment
French Prelim Private Payrolls q/q,Employment
Employment Change q/q,Employment
Employment Change,Employment
Claimant Count Change,Employment
Flash Employment Change q/q,Employment
French Final Private Payrolls q/q,Employment
German Unemployment Change,Employment
JOLTS Job Openings,Employment
ADP Non-Farm Employment Change,Employment
Final Employment Change q/q,Employment
Italian Quarterly Unemployment Rate,Employment
Spanish Unemployment Rate,Employment
Wards Total Vehicle Sales,Growth
French Industrial Production m/m,Growth
Italian Industrial Production m/m,Growth
Italian Retail Sales m/m,Growth
Factory Orders m/m,Growth
BRC Retail Sales Monitor y/y,Growth
Household Spending y/y,Growth
German Factory Orders m/m,Growth
Retail Sales y/y,Growth
Retail Sales m/m,Growth
Trade Balance,Growth
USD-Denominated Trade Balance,Growth
Leading Indicators,Growth
German Industrial Production m/m,Growth
German Trade Balance,Growth
French Trade Balance,Growth
Consumer Credit m/m,Growth
Bank Lending y/y,Growth
Current Account,Growth
Final Wholesale Inventories m/m,Growth
Italian Trade Balance,Growth
Visitor Arrivals m/m,Growth
Prelim Machine Tool Orders y/y,Growth
New Loans,Growth
Flash GDP q/q,Growth
Industrial Production m/m,Growth
Prelim GDP q/q,Growth
Industrial Production y/y,Growth
Fixed Asset Investment ytd/y,Growth
Revised Industrial Production m/m,Growth
GDP m/m,Growth
Goods Trade Balance,Growth
Index of Services 3m/3m,Growth
Manufacturing Production m/m,Growth
Prelim Business Investment q/q,Growth
NIESR GDP Estimate,Growth
Wholesale Sales m/m,Growth
Core Retail Sales m/m,Growth
Business Inventories m/m,Growth
CB Leading Index m/m,Growth
TIC Long-Term Purchases,Growth
Tertiary Industry Activity m/m,Growth
Foreign Direct Investment ytd/y,Growth
Foreign Securities Purchases,Growth
Manufacturing Sales m/m,Growth
Core Machinery Orders m/m,Growth
MI Leading Index m/m,Growth
Credit Card Spending y/y,Growth
Public Sector Net Borrowing,Growth
Retail Sales q/q,Growth
Core Retail Sales q/q,Growth
Corporate Profits q/q,Growth
Core Durable Goods Orders m/m,Growth
Durable Goods Orders m/m,Growth
German Final GDP q/q,Growth
Private Loans y/y,Growth
Private Capital Expenditure q/q,Growth
Prelim Wholesale Inventories m/m,Growth
Prelim Industrial Production m/m,Growth
Private Sector Credit m/m,Growth
French Consumer Spending m/m,Growth
French Prelim GDP q/q,Growth
KOF Economic Barometer,Growth
Net Lending to Individuals m/m,Growth
Personal Income m/m,Growth
Personal Spending m/m,Growth
Capital Spending q/y,Growth
Company Operating Profits q/q,Growth
